"mirna","log2FC","avg_expr","t_stat","p_value","fdr","B_stat","significant"
"hsa-miR-4743-5p",0.303047567938506,8.31724747461409,13.6529713674859,1.609873228794e-41,5.38270496744006e-41,82.6811538543593,FALSE
"hsa-miR-6889-5p",0.858639130934799,8.54587997249973,13.6448263008199,1.79656269206707e-41,5.9702845559546e-41,82.490249776989,TRUE
"hsa-miR-483-5p",-0.457998662099381,8.34690206190436,-13.6255963039741,2.30465077757843e-41,7.61233135624389e-41,82.4538911539053,FALSE
"hsa-miR-6850-5p",-0.859909888042893,12.0418195631726,-13.484442120277,1.45060583695419e-40,4.76253121168693e-40,81.0181211051847,TRUE
"hsa-miR-6784-5p",2.26504431586993,9.86154485130274,13.4107644934361,3.77589366301473e-40,1.23225272236109e-39,79.7889926792154,TRUE
"hsa-miR-4673",-0.631986557609736,7.90348692833822,-13.3988625713155,4.38812171537058e-40,1.42352758028391e-39,79.6688490299027,TRUE
"hsa-miR-4446-3p",-0.332813438595604,9.6636848739683,-13.3132631894771,1.3193239768491e-39,4.25462465906958e-39,78.3197101611479,FALSE
"hsa-miR-6749-5p",0.841223198762808,10.4092150745404,13.0487849211261,3.80124588606331e-38,1.21863471053206e-37,75.1805427062759,TRUE
"hsa-miR-7106-5p",0.439334290466412,8.31624354566228,13.0331804475594,4.62607373498355e-38,1.47439192138365e-37,74.7600467975468,FALSE
"hsa-miR-642b-3p",0.52932287528578,10.4342454815534,12.8070864442723,7.77190855085946e-37,2.46261055826651e-36,72.1782765093158,TRUE
"hsa-miR-204-3p",1.78191089551066,10.9151206820935,12.7588201468239,1.41397122645794e-36,4.45441802554671e-36,71.7867349585358,TRUE
"hsa-miR-198",-0.36942994013117,8.1583186941387,-12.7570455837429,1.44240682715375e-36,4.51788345286663e-36,71.4881536027692,FALSE
"hsa-miR-4706",0.439037508490591,9.4968509693048,12.6908063862481,3.25918460445494e-36,1.0150032053874e-35,70.5103203573582,FALSE
"hsa-miR-4649-5p",0.692187699157886,11.3859909682199,12.6118112131676,8.57254672377919e-36,2.65456702526117e-35,70.0517202457952,TRUE
"hsa-miR-1203",-0.369196102626615,8.68583492658256,-12.5164699935985,2.73422141437491e-35,8.41893034369677e-35,68.4653993229886,FALSE
"hsa-miR-6165",0.31259711561788,8.41518526398702,12.5029312702749,3.22167003801916e-35,9.86410208269912e-35,68.2386301040746,FALSE
"hsa-miR-1281",0.430387507630557,8.13356724577708,12.4744553103549,4.54679880303609e-35,1.38436052941602e-34,67.9437505513111,FALSE
"hsa-miR-128-1-5p",-0.429973243277884,8.95295679171136,-12.4521871431474,5.94969904223689e-35,1.80143665445506e-34,67.6768842950668,FALSE
"hsa-miR-6777-3p",0.290050039379427,8.42986074336578,12.4370178018322,7.14404373272789e-35,2.15110709079376e-34,67.4498501537044,FALSE
"hsa-miR-3188",0.292267064542255,9.12665213997981,12.4066690887091,1.02950695404783e-34,3.08286423052784e-34,67.0361701764935,FALSE
"hsa-miR-1229-3p",0.361909554920725,8.20568461435798,12.3382104371172,2.34034430630968e-34,6.96987785212446e-34,66.3166497547061,FALSE
"hsa-miR-4632-5p",0.500847963619968,10.0948566532618,12.3322579468458,2.51307418929296e-34,7.44361648459057e-34,66.3333370223845,TRUE
"hsa-miR-6787-5p",0.499962325337425,9.81977655680029,12.2785646279892,4.77030952003396e-34,1.40530739914514e-33,65.6248432319658,FALSE
"hsa-miR-24-3p",-0.409135359836237,8.2572376687825,-12.2297231996174,8.52649983999509e-34,2.49835613591254e-33,65.1367056733405,FALSE
"hsa-miR-6795-5p",0.364120183257853,8.50012310586368,12.1634425203784,1.86888122386387e-33,5.44673939575298e-33,64.1870288990488,FALSE
"hsa-miR-6756-3p",0.424031540885641,8.1308643165943,12.1468103233455,2.27424429003102e-33,6.59288903227078e-33,64.05671384158,FALSE
"hsa-miR-7641",0.477617102782677,8.5156272897006,12.1372144835691,2.54688081884465e-33,7.34418013899647e-33,63.869238863106,FALSE
"hsa-miR-1236-3p",0.307205586307385,8.31990039511572,12.0812112098535,4.92097250037711e-33,1.41154211195028e-32,63.2622917352927,FALSE
"hsa-miR-4749-3p",0.44423080088387,8.11405591205058,11.9630678728526,1.95689777699236e-32,5.58381826419286e-32,61.9272238122987,FALSE
"hsa-miR-874-3p",0.338401818748816,8.28213073107091,11.9047630664112,3.84983764057794e-32,1.09279245526822e-31,61.2278291723611,FALSE
"hsa-miR-7113-3p",0.468350600849728,8.14404290999332,11.9027199650897,3.94199772733379e-32,1.11315479865125e-31,61.2387087346678,FALSE
"hsa-miR-3622a-5p",-0.305878090791571,8.63664540202693,-11.8129575293704,1.11044542347123e-31,3.1195502875867e-31,60.2133413078418,FALSE
"hsa-miR-6132",0.645504085200432,9.65294946358759,11.7734792816441,1.7479086343387e-31,4.8851805421261e-31,59.729084483695,TRUE
"hsa-miR-6743-5p",1.03816216898625,9.4409007569466,11.7262643249709,3.00390634920019e-31,8.35269877711278e-31,59.1708013288742,TRUE
"hsa-miR-6771-5p",-0.459387750248617,10.3990218954575,-11.7199271224816,3.22366364664969e-31,8.91825729656893e-31,59.287693941294,FALSE
