"mirna","log2FC","logCPM","p_value","fdr","significant"
"hsa-miR-4739",-0.556076339031648,12.4551194794504,5.43254827412996e-19,9.83634155947119e-19,TRUE
"hsa-miR-6716-5p",-0.249492638567398,9.00806954135506,1.08168415847279e-18,1.95204591512473e-18,FALSE
"hsa-miR-4649-5p",0.363984420967864,12.0033217404645,1.42198582571311e-18,2.55769727727276e-18,FALSE
"hsa-miR-6840-3p",-0.270794504263495,10.545702816064,1.96283647026286e-18,3.5189009088594e-18,FALSE
"hsa-miR-6776-5p",0.223547044916534,8.31514069897433,2.2387048054753e-18,4.00030858683292e-18,FALSE
"hsa-miR-6880-5p",-0.275877004570269,9.21246214738883,2.64667667894623e-18,4.71385225498593e-18,FALSE
"hsa-miR-6717-5p",0.263670771324072,8.74029639655869,4.72224127948545e-18,8.38313191309307e-18,FALSE
"hsa-miR-4258",0.407127072491576,9.70619843245824,6.04182833986041e-18,1.06908975494283e-17,FALSE
"hsa-miR-6829-5p",-0.238475987664063,8.81971634017334,6.14624787718777e-18,1.08404695568522e-17,FALSE
"hsa-miR-6763-3p",0.201433307373242,8.39098726147363,6.66771500854956e-18,1.1722273160192e-17,FALSE
"hsa-miR-6819-5p",-0.278111332185009,9.76278484956105,6.79867411828112e-18,1.19140752233544e-17,FALSE
"hsa-miR-7847-3p",0.243507976500314,9.03622962179343,8.05518241454939e-18,1.40707513331071e-17,FALSE
"hsa-miR-3188",0.192439559080262,9.3169893824772,9.07650296731881e-18,1.58041345597085e-17,FALSE
"hsa-miR-25-5p",-0.236183659333313,8.40264493770262,2.49088215756264e-17,4.32334641997338e-17,FALSE
"hsa-miR-4472",0.246478198264783,8.38995241142745,3.26934883546093e-17,5.65649242960701e-17,FALSE
"hsa-miR-1247-3p",0.164149881063722,9.04812460972819,1.22946590536182e-16,2.12043961526011e-16,FALSE
"hsa-miR-4707-5p",-0.268517551415884,9.81993998291912,1.6307140670405e-16,2.80359358529044e-16,FALSE
"hsa-miR-4505",-0.283725316675541,11.1705408388639,1.73822603054603e-16,2.97903517813706e-16,FALSE
"hsa-miR-5193",-0.225684288298023,8.25257791187192,3.08544179292695e-16,5.27136607255545e-16,FALSE
"hsa-miR-675-3p",-0.18952257199594,8.48064221984075,3.31265687362324e-16,5.64186873788959e-16,FALSE
"hsa-miR-3122",-0.169910855099233,8.53333094544656,3.93996465028749e-16,6.6893480822638e-16,FALSE
"hsa-miR-6762-5p",0.181886043509608,9.84178183292961,7.04775955014972e-16,1.19286613504087e-15,FALSE
"hsa-miR-4638-5p",0.238563689711232,8.40965985795904,7.26344288760743e-16,1.22556544078825e-15,FALSE
"hsa-miR-4763-5p",0.187314696048057,8.57492897976117,1.95566917770529e-15,3.28962870941168e-15,FALSE
"hsa-miR-6750-3p",0.21135932661786,8.3093494654225,3.88949759399841e-15,6.52238827301272e-15,FALSE
"hsa-miR-642a-3p",-0.224133692181119,9.90876373677765,4.83869737107406e-15,8.0892333350778e-15,FALSE
"hsa-miR-6801-3p",0.17716770408576,8.46167064434792,6.57896108215136e-15,1.09649351369189e-14,FALSE
"hsa-miR-6879-5p",-0.312382510362706,10.8149821991692,7.09788847822857e-15,1.17937476238859e-14,FALSE
"hsa-miR-4478",0.169666047751645,8.55244227416413,8.22925683436264e-15,1.36320515949168e-14,FALSE
"hsa-miR-4279",-0.168060366786518,8.60421223753184,1.16944081416941e-14,1.93134922340099e-14,FALSE
"hsa-miR-6510-5p",-0.186888308976855,9.31356951235276,1.19330450879165e-14,1.96480651749683e-14,FALSE
"hsa-miR-4750-5p",0.184015392403778,8.83368978274155,1.35437873659e-14,2.22330244410105e-14,FALSE
"hsa-miR-7846-3p",-0.159155005987784,8.90325615615526,4.77264103426277e-14,7.81107917018983e-14,FALSE
"hsa-miR-3656",-0.555896186992375,12.1629106050536,5.2266669104534e-14,8.52854331196738e-14,TRUE
"hsa-miR-4763-3p",-0.303219976358766,10.573871034576,6.95246680522696e-14,1.13107295786528e-13,FALSE
"hsa-miR-2276-3p",-0.180709539505926,8.32203911054213,1.07666192366367e-13,1.74637127499018e-13,FALSE
"hsa-miR-6737-5p",-0.161199920142632,9.31457314434047,1.71971533182719e-13,2.78114200547721e-13,FALSE
"hsa-miR-1914-3p",-0.207416055062267,9.52092507366935,1.9525256364896e-13,3.14830317126282e-13,FALSE
"hsa-miR-6831-5p",-0.217364524816679,8.34473655162918,4.01535014953279e-13,6.45535643508959e-13,FALSE
"hsa-miR-6808-5p",-0.263798742813102,9.48515422250254,4.9419967444318e-13,7.92173007563333e-13,FALSE
"hsa-miR-6741-3p",0.147229583259974,8.47083142764945,9.49731271713307e-13,1.51789895332479e-12,FALSE
"hsa-miR-3679-3p",0.15880852245224,8.94160743063522,9.91173724942314e-13,1.57950198857766e-12,FALSE
"hsa-miR-4539",0.159608504421049,8.35349252003509,2.5847241550192e-12,4.10692322007424e-12,FALSE
"hsa-miR-4731-3p",0.144375719645838,8.57786335026608,2.69812749236719e-12,4.27464966087244e-12,FALSE
"hsa-miR-1260b",0.333506220613586,9.20288227269724,3.1880952531065e-12,5.03626641432766e-12,FALSE
"hsa-miR-6087",0.610428478151019,12.8016754700289,3.45020775660266e-12,5.43457580158512e-12,TRUE
"hsa-miR-6768-5p",-0.428339559856855,10.8198074790741,9.4460779521101e-12,1.48360590314121e-11,FALSE
"hsa-miR-939-5p",0.352407638728007,8.82194104132315,1.1566290355612e-11,1.81138742638177e-11,FALSE
"hsa-miR-371b-5p",-0.170415290945497,8.39806790304996,4.4045073287874e-11,6.87809883721815e-11,FALSE
"hsa-miR-4689",-0.243402043726952,10.7055090309875,9.50636632731561e-11,1.48027704239629e-10,FALSE
"hsa-miR-483-3p",-0.149867335705415,8.61525541043126,1.25459824634692e-10,1.94802291811702e-10,FALSE
"hsa-miR-6885-5p",0.412128246719358,12.2153296944329,1.48032731959393e-10,2.29198406016674e-10,FALSE
"hsa-miR-6090",0.408960277474121,14.5692166150132,1.48953165785429e-10,2.29970185136143e-10,FALSE
"hsa-miR-1288-3p",-0.147800187026794,8.45334188968346,2.22516942146948e-10,3.42575518277081e-10,FALSE
"hsa-miR-572",-0.16532756626391,8.30416516286723,2.7324390455155e-10,4.19487121072098e-10,FALSE
"hsa-miR-4747-3p",-0.152686521431382,8.49290472359584,3.98799443236582e-10,6.10521619561621e-10,FALSE
"hsa-miR-4749-5p",-0.169598855452499,10.294588408127,4.29212789123042e-10,6.55240812526773e-10,FALSE
"hsa-miR-1587",0.140720296702306,8.47444612334553,4.739929154454e-10,7.2158139362498e-10,FALSE
"hsa-miR-7111-5p",-0.245276262036431,9.5779297561775,5.63265356983858e-10,8.55096433304186e-10,FALSE
"hsa-miR-602",-0.175296334473017,8.20496644570114,7.8872376496619e-10,1.19404014418493e-09,FALSE
"hsa-miR-6809-3p",0.142267914640477,8.31632767789067,1.0856916777967e-09,1.63906361329419e-09,FALSE
"hsa-miR-625-3p",0.157013036878846,8.30394295014079,1.15872307429775e-09,1.7444863963875e-09,FALSE
"hsa-miR-6891-5p",-0.199557702645642,9.51210861405421,1.47994353990299e-09,2.22195379957886e-09,FALSE
