mirna,mean_cancer,mean_healthy,log2FC,se,t_stat,df_welch,p_value,rank,fdr_bh,significant
hsa-miR-3918,3.6957,5.0416,-1.3458,0.035852,-37.5387,2711.8,9.916037579139597e-249,112,4.825214714849179e-248,True
hsa-miR-760,4.9039,6.4025,-1.4986,0.040135,-37.34,2788.5,7.93122727064587e-248,113,3.8252379314176985e-247,True
hsa-miR-6790-5p,3.7255,5.0838,-1.3584,0.035794,-37.9493,2419.9,1.1269092802291525e-247,114,5.387417173025335e-247,True
hsa-miR-6730-3p,3.2713,4.8376,-1.5663,0.040546,-38.6302,2093.7,6.154776398225926e-247,115,2.9168288148114176e-246,True
hsa-miR-370-3p,4.22,5.2394,-1.0195,0.02725,-37.4114,2624.1,6.989171680257187e-246,116,3.283705660120834e-245,True
hsa-miR-4722-5p,3.9365,5.368,-1.4315,0.037542,-38.1299,2245.3,1.0033592327478934e-245,117,4.67376736621882e-245,True
hsa-miR-6829-5p,3.7071,5.2313,-1.5242,0.041115,-37.0714,2827.0,1.6461683345640687e-245,118,7.603065613028961e-245,True
hsa-miR-1236-5p,3.5358,4.9195,-1.3838,0.037147,-37.2509,2653.9,1.0937869019656207e-244,119,5.00936018127112e-244,True
hsa-miR-4656,4.6124,6.1996,-1.5872,0.042997,-36.9137,2879.2,1.45308980038377e-244,120,6.599449510076288e-244,True
hsa-miR-766-3p,3.7217,4.9487,-1.227,0.033094,-37.0766,2728.8,4.751413648028699e-244,121,2.1400995356823479e-243,True
hsa-miR-346,3.2348,4.7014,-1.4666,0.038834,-37.765,2319.3,1.1075971358142849e-243,122,4.94787245097365e-243,True
hsa-miR-6510-5p,4.2937,5.7882,-1.4945,0.040304,-37.0802,2700.4,1.238208755709235e-243,123,5.486372128955554e-243,True
hsa-miR-7111-3p,3.8193,5.0172,-1.198,0.032079,-37.3449,2496.6,6.754836378699631e-243,124,2.968859537412338e-242,True
hsa-miR-4747-3p,3.4462,4.9114,-1.4652,0.039105,-37.4682,2398.7,2.735707449755537e-242,125,1.1927684480934142e-241,True
hsa-miR-668-3p,3.3522,4.6651,-1.313,0.035167,-37.3358,2392.1,8.42709110584103e-241,126,3.645051311653461e-240,True
hsa-miR-4792,3.8961,5.2008,-1.3047,0.035778,-36.4666,2896.5,6.043450233588213e-240,127,2.5934491159886427e-239,True
hsa-miR-6785-5p,5.1145,6.886,-1.7715,0.050045,-35.3983,3824.5,1.1407928940569826e-237,128,4.857282244226996e-237,True
hsa-miR-328-3p,4.0776,5.0558,-0.9781,0.026627,-36.7351,2543.5,2.22114802482322e-237,129,9.383919949834534e-237,True
hsa-miR-504-3p,3.5282,5.1662,-1.638,0.044255,-37.0125,2379.4,3.044139582246081e-237,130,1.276196978710857e-236,True
hsa-miR-7155-5p,3.9088,5.1786,-1.2698,0.034482,-36.8248,2409.9,6.605971471039996e-236,131,2.7482858410051893e-235,True
hsa-miR-6771-5p,5.3453,7.2221,-1.8768,0.052132,-36.0004,2950.0,1.3710000566503618e-235,132,5.6605684157155085e-235,True
hsa-miR-4685-3p,3.3895,4.8621,-1.4727,0.039977,-36.8376,2252.7,6.26001619056883e-233,133,2.5651946044060246e-232,True
hsa-miR-4731-3p,3.8304,4.9885,-1.1582,0.031455,-36.8207,2260.6,6.3300724014702285e-233,134,2.5745443722397572e-232,True
hsa-miR-4274,3.6263,4.9516,-1.3253,0.036779,-36.0351,2689.6,2.2935656227329592e-232,135,9.259209365847873e-232,True
hsa-miR-1234-3p,3.6444,4.8887,-1.2442,0.034573,-35.9882,2720.0,2.5668863837684544e-232,136,1.0286419699660351e-231,True
hsa-miR-3180,4.8113,6.8662,-2.0549,0.057683,-35.6248,2944.1,1.9261069509354403e-231,137,7.662250279268722e-231,True
hsa-miR-7845-5p,4.1543,5.7286,-1.5743,0.044855,-35.0975,3472.1,3.0991485467019635e-231,138,1.2239390999656305e-230,True
hsa-miR-937-5p,4.7113,6.3644,-1.6531,0.045647,-36.2147,2487.3,5.05370399600276e-231,139,1.9814882574255425e-230,True
hsa-miR-6731-5p,3.2014,4.8068,-1.6055,0.0443,-36.2411,2401.6,8.562988311200796e-230,140,3.3334490211460244e-229,True
hsa-miR-6803-3p,3.1797,4.7662,-1.5865,0.043719,-36.2885,2339.3,3.965391505564822e-229,141,1.5327222486048426e-228,True
hsa-miR-6845-3p,3.5655,4.9761,-1.4106,0.039263,-35.9259,2543.3,5.768596738277479e-229,142,2.2140036777191734e-228,True
hsa-miR-6820-5p,4.2694,6.0839,-1.8144,0.050389,-36.0083,2461.5,1.8362028721454832e-228,143,6.998115841393625e-228,True
