mirna,mean_cancer,mean_healthy,log2_fold_change,p_value,rank,fdr,significant
hsa-miR-6802-3p,3.3455,4.6215,-1.276,3.128662955850518e-192,229,7.445944589251233e-192,True
hsa-miR-6870-5p,4.4168,5.9545,-1.5377,3.4044055326222887e-192,230,8.066960935996293e-192,True
hsa-miR-6511b-5p,3.4696,4.7368,-1.2673,3.543351329666539e-192,231,8.359854868693782e-192,True
hsa-miR-6741-5p,4.7601,5.9996,-1.2395,4.620165580246368e-192,232,1.0853406212216684e-191,True
hsa-miR-210-5p,3.4722,4.8209,-1.3487,1.3433100312680098e-191,233,3.142077111764229e-191,True
hsa-miR-4758-3p,4.0993,5.0717,-0.9724,1.489046116307394e-191,234,3.468077493109101e-191,True
hsa-miR-4433a-3p,1.5438,4.0262,-2.4825,9.457702460855877e-191,235,2.193382060070831e-190,True
hsa-miR-6835-5p,3.7595,4.8182,-1.0587,1.264253451999366e-190,236,2.919568353134129e-190,True
hsa-miR-6840-3p,5.4175,6.9317,-1.5142,2.0647099548534243e-190,237,4.747961710527916e-190,True
hsa-miR-4485-5p,1.5239,3.7156,-2.1917,1.1444547589391931e-188,238,2.620705225301934e-188,True
hsa-miR-6761-3p,3.8239,4.8024,-0.9785,1.8065671442852732e-187,239,4.1195777976379665e-187,True
hsa-miR-6722-3p,5.1974,6.8669,-1.6696,2.4195289055975016e-187,240,5.494346889794327e-187,True
hsa-miR-6511a-3p,3.4173,4.6829,-1.2655,2.8152944433464374e-187,241,6.366537226654806e-187,True
hsa-miR-30b-3p,3.3304,4.6034,-1.273,2.95308393382724e-186,242,6.65054026419771e-186,True
hsa-miR-4476,3.803,5.3232,-1.5201,5.630983079689041e-186,243,1.2629159582018632e-185,True
hsa-miR-342-5p,3.3842,4.7248,-1.3406,1.641266831162384e-185,244,3.665944356489751e-185,True
hsa-miR-449b-3p,3.2043,4.5413,-1.337,1.7316384970736216e-185,245,3.8520121669596886e-185,True
hsa-miR-3620-5p,5.048,6.406,-1.3579,2.001677527765837e-185,246,4.434610783058461e-185,True
hsa-miR-4763-5p,3.8308,4.8965,-1.0657,2.5454732967117247e-185,247,5.6165301486149393e-185,True
hsa-miR-6797-3p,3.4978,4.6375,-1.1398,8.295814347353492e-185,248,1.8230721045595373e-184,True
hsa-miR-8064,3.6733,4.6832,-1.0098,2.1597084999386328e-184,249,4.727072821150822e-184,True
hsa-miR-637,4.1467,4.9604,-0.8137,2.9243469091259285e-184,250,6.375076261894525e-184,True
hsa-miR-4634,5.0575,6.6968,-1.6393,5.3389549582563e-184,251,1.159255160258838e-183,True
hsa-miR-4525,4.8418,6.4179,-1.5761,9.156713058833278e-184,252,1.980320879787356e-183,True
hsa-miR-4478,3.76,4.9046,-1.1446,9.65805575187817e-184,253,2.0804902706615026e-183,True
hsa-miR-3154,4.2304,5.2998,-1.0694,8.946799283401778e-183,254,1.9196872478165232e-182,True
hsa-miR-1247-3p,4.3456,5.4525,-1.1069,1.0986382041990041e-182,255,2.3480698874057146e-182,True
hsa-miR-4535,3.345,4.6585,-1.3135,4.208206967566218e-182,256,8.95887811454527e-182,True
hsa-miR-6762-5p,5.107,6.2734,-1.1665,6.150112157466455e-182,257,1.3042066637428864e-181,True
hsa-miR-4738-3p,3.4036,4.6436,-1.24,1.079668632436472e-181,258,2.2806953669685166e-181,True
hsa-miR-6826-5p,4.194,5.4255,-1.2315,6.869943537413877e-181,259,1.445605879494426e-180,True
hsa-miR-6794-5p,5.2632,6.6035,-1.3403,1.9777680952710037e-180,260,4.14570619970268e-180,True
hsa-miR-6127,3.4976,4.7128,-1.2152,4.124077203423318e-180,261,8.611578834734514e-180,True
hsa-miR-6799-5p,4.8741,6.7456,-1.8715,9.922433610649566e-180,262,2.06401767855115e-179,True
hsa-miR-4743-5p,3.8958,4.8216,-0.9258,1.5490165834294723e-179,263,3.209939307867158e-179,True
hsa-miR-3619-3p,4.3402,5.8476,-1.5074,2.8787392872534262e-179,264,5.942851937701202e-179,True
hsa-miR-5196-5p,3.7042,5.0598,-1.3557,4.313205461400036e-178,265,8.870554628162338e-178,True
