mirna,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant
hsa-miR-4507,24.98310717029881,0.4182838628781476,0.029042717179492392,14.402366703261006,5.00015026264018e-47,1.434253627967841e-46,False
hsa-miR-4436b-5p,22.310446717738373,-0.35401323405696744,0.024769261563103818,-14.29244199125839,2.4390439737258634e-46,6.959575736547621e-46,False
hsa-miR-6088,312.64681578901116,0.9684576375132151,0.068027231432985,14.236322971151079,5.452126811751046e-46,1.5476089127105832e-45,True
hsa-miR-7108-3p,22.369467937874695,0.3718454570603816,0.026239822511923968,14.17103552782823,1.3844384833457983e-45,3.909424732764042e-45,False
hsa-miR-8089,38.41573284428222,-0.3586998279639796,0.02564095266751291,-13.98933310377552,1.8110216619895806e-44,5.087663947341863e-44,False
hsa-miR-874-3p,22.063254969043587,0.31789956385891094,0.022748748339763262,13.974376045263298,2.2346343898678963e-44,6.245516628092325e-44,False
hsa-miR-6757-5p,54.99525284747426,0.4539797093534618,0.032599321270485246,13.926047894883189,4.4003988532836356e-44,1.2235802933875416e-43,False
hsa-miR-4687-3p,153.7269125703311,-0.5645284244669114,0.04055772612193042,-13.919133996066385,4.847417891213136e-44,1.3410369292950046e-43,True
hsa-miR-8064,19.780090320519214,0.29016915133245563,0.020869442414584122,13.904020316789955,5.988115455861309e-44,1.6482439007295016e-43,False
hsa-miR-4646-5p,19.896392413180156,0.34952600090775754,0.025228069213053355,13.85464729607242,1.1924113352957965e-43,3.26564913435281e-43,False
